Team,Year,Wins,Losses,win%,Arena,Location,Capacity
San Jose Sharks,1993,33,35,0.4852941176470588,SAP Center,"San Jose, California",17562
St. Louis Blues,1993,40,33,0.547945205479452,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,1993,30,43,0.410958904109589,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1993,43,29,0.5972222222222222,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1993,41,40,0.5061728395061729,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1993,39,35,0.527027027027027,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,1993,24,51,0.32,Canada Life Centre,"Winnipeg, Manitoba",15321
Anaheim Ducks,1994,16,27,0.37209302325581395,Honda Center,"Anaheim, California",17174
Boston Bruins,1994,27,18,0.6,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1994,22,19,0.5365853658536586,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1994,24,17,0.5853658536585366,Scotiabank Saddledome,"Calgary, Alberta",19289
Chicago Blackhawks,1994,24,19,0.5581395348837209,United Center,"Chicago, Illinois",19717
Dallas Stars,1994,17,23,0.425,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,1994,33,11,0.75,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1994,17,27,0.38636363636363635,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,1994,20,22,0.47619047619047616,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,1994,16,23,0.41025641025641024,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1994,18,23,0.43902439024390244,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1994,22,18,0.55,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1994,15,28,0.3488372093023256,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1994,15,28,0.3488372093023256,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1994,22,23,0.4888888888888889,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1994,9,34,0.20930232558139536,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1994,28,16,0.6363636363636364,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
